#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
46000,-18.233014055385866,3.0695746690034866,-15.163439386382379,82.04100820396238
47000,-18.79123064088344,1.3938514590263367,-17.397379181857104,37.25368864286609
48000,-18.70883676270023,4.182156711816788,-14.526680050883442,111.77716462450638
49000,-16.38723719956397,1.733245700597763,-14.653991498966207,46.32473227581945
50000,-18.199552308498824,1.578155979514122,-16.6213963289847,42.179624744063624
51000,-16.91021375674245,4.990226447582245,-11.919987309160206,133.37457239918993
52000,-18.60305266754949,2.054617300629616,-16.548435366919875,54.91408191470383
53000,-19.205288983554055,7.676198482513428,-11.529090501040628,205.16297226402878
54000,-15.590143952547805,3.483426943421364,-12.106717009126442,93.1021034702222
55000,-19.321255004753766,1.7718167006969452,-17.54943830405682,47.355625502664886
56000,-14.940304831579851,4.4648690819740295,-10.475435749605822,119.33326290536746
57000,-19.078484630903404,4.295987099409103,-14.7824975314943,114.81952741718383
58000,-20.362404316045286,2.755119115114212,-17.607285200931074,73.63650482539276
59000,-19.28686297868262,1.0359132811427116,-18.25094969753991,27.687018287915855
60000,-18.97578061462991,1.3317289650440216,-17.64405164958589,35.5933309099466
61000,-18.303325325967307,6.619656920433044,-11.683668405534263,176.92461864528335
62000,-17.430007701172144,6.568877756595612,-10.861129944576533,175.56743589320857
63000,-16.617347380662977,4.85145628452301,-11.765891096139967,129.66564027873304
64000,-17.0936458809374,4.503766089677811,-12.589879791259591,120.3728693890799
65000,-15.450710919540143,4.571391403675079,-10.879319515865063,122.18030186383594
66000,-16.525263806943258,3.663637399673462,-12.861626407269796,97.91861686835301
67000,-19.133518732269295,1.6426417529582977,-17.490876979310997,43.9031462213535
68000,-16.02365580527112,1.9410903304815292,-14.08256547478959,51.87982860810033
69000,-19.032506160681805,4.7588053941726685,-14.273700766509137,127.18934526232789
70000,-18.856721021908015,2.3524550795555115,-16.504265942352504,62.87443939062799
71000,-18.138255853631563,5.66692328453064,-12.471332569100923,151.46075590607356
72000,-19.33208731175182,3.258847452700138,-16.073239859051682,87.09973186260036
73000,-14.877177989372285,2.456765115261078,-12.420412874111207,65.66235023100973
74000,-10.177740554248885,11.006175518035889,0.8284349637870037,294.1637957491258
75000,-15.6570071076967,4.113243103027344,-11.543764004669356,109.93529969085587
76000,-18.04942332248902,2.540451869368553,-15.508971453120466,67.89905935870242
77000,-19.595647942354844,1.6282639801502228,-17.96738396220462,43.51886921098681
78000,-20.064700898212322,3.5762287378311157,-16.488472160381207,95.58243172331683
79000,-18.798220653883618,3.0592919290065765,-15.738928724877042,81.76617978393259
80000,-16.418596291616268,4.605277091264725,-11.813319200351543,123.08597000138333
81000,-20.385198826828855,4.072968065738678,-16.312230761090177,108.85886239223592
82000,-14.380220851693593,3.6650179624557495,-10.715202889237844,97.9555153884286
83000,-14.816348118903989,4.0267771780490875,-10.789570940854901,107.62431122325582
84000,-14.309533917272347,1.6451419591903687,-12.664391958081978,43.9699696291918
85000,-16.34266192504583,2.96752667427063,-13.375135250775202,79.31355529082177
86000,-14.626329129911028,2.1023636758327484,-12.52396545407828,56.19020684474873
87000,-19.153255447170523,9.604501247406006,-9.548754199764517,256.70102558189575
88000,-12.323730763164349,3.2236692309379578,-9.100061532226391,86.15951795956839
